PUT /webservice/integration/acessoTotal | tags: Acesso | operationId: acessoTotal
PUT /webservice/integration/updatePagamentoRecebimentoOrder | tags: Pagamento | operationId: updatePagamentoRecebimentoOrder
PUT /webservice/integration/updatePedidoIntegrado | tags: Pedido | operationId: updatePedidoIntegrado
PUT /webservice/integration/updatePedidoIntegradoNumPed | tags: Pedido | operationId: updatePedidoIntegradoNumPed
PUT /webservice/integration/updatePrecoEcommerce | tags: Produto | operationId: updatePrecoEcommerce
PUT /webservice/integration/updatePrecoEcommerceCayena | tags: Produto | operationId: updatePrecoEcommerceCayena
PUT /webservice/integration/updatePrecoEcommerceMagento | tags: Produto | operationId: updatePrecoEcommerceMagento
PUT /webservice/integration/updatePrecoEcommerceOnfood | tags: Produto | operationId: updatePrecoEcommerceOnfood
PUT /webservice/integration/updatePrecoEcommercePresta | tags: Produto | operationId: updatePrecoEcommercePresta
PUT /webservice/integration/updatePrecoProduto | tags: Produto | operationId: updatePrecoProduto
PUT /webservice/integration/updatePrecoProdutoCayena | tags: Produto | operationId: updatePrecoProdutoCayena
PUT /webservice/integration/updatePrecoProdutoLoja | tags: Produto | operationId: updatePrecoProdutoLoja
PUT /webservice/integration/updatePrecoProdutoOnfood | tags: Produto | operationId: updatePrecoProdutoOnfood
PUT /webservice/integration/updatePrecoProdutoPresta | tags: Produto | operationId: updatePrecoProdutoPresta
PUT /webservice/integration/updatePrecoProdutoTray | tags: Produto | operationId: updatePrecoProdutoTray
PUT /webservice/integration/updatePrecoPromocao | tags: Produto | operationId: updatePrecoPromocao
PUT /webservice/integration/updateProduto | tags: Produto | operationId: updateProduto
PUT /webservice/integration/updateProdutoLoja | tags: Produto | operationId: updateProdutoLoja
PUT /webservice/integration/updateProdutoOnfood | tags: Produto | operationId: updateProdutoOnfood
PUT /webservice/integration/updateProdutoPresta | tags: Produto | operationId: updateProdutoPresta
PUT /webservice/integration/updateStatusPedidoIfc | tags: Order | operationId: updateStatusPedidoIfc
PUT /webservice/integration/updateTabelaPreco | tags: Tabela Preço | operationId: updateTabelaPreco
PUT /webservice/integration/updateTabelaPrecoOnfood | tags: Tabela Preço | operationId: updateTabelaPrecoOnfood
PUT /webservice/integration/updateVinculoCatMercadoLivre | tags: Produto | operationId: updateVinculoCatMercadoLivre
PUT /webservice/integration/upperCidadeSankhya | tags: Município | operationId: upperCidadeSankhya
GET /webservice/integration/validaCustomer | tags: Customer | operationId: validaCustomer
GET /webservice/integration/validaOrder | tags: Order | operationId: validaOrder
GET /webservice/integration/validaPayment | tags: Customer | operationId: validaPayment
PUT /webservice/integration/validaVinculoProdutos | tags: Produto | operationId: validaVinculoProdutos
PUT /webservice/integration/validaVinculoProdutosLoja | tags: Produto | operationId: validaVinculoProdutosLoja
PUT /webservice/integration/validaVinculoProdutosOnfood | tags: Produto | operationId: validaVinculoProdutosOnfood
PUT /webservice/integration/validaVinculoProdutosPresta | tags: Produto | operationId: validaVinculoProdutosPresta
GET /webservice/integration/verPermissaoAcesso | tags: Acesso | operationId: verPermissaoAcesso
